sig	mint	ts	side	fee	nat_d	wsol_d	tok_d	dec	pool	base_pre	base_post	quote_pre	quote_post	prog	nonce	rent_d	tip
2Yjcp8UWqD9Qq3fcupbZLyqpJ3d5RLfjxt4xiChrbioaDMDDsmh3ysGMpGWS8ESTUVCga8twhw2Tuq2Bmst6a8vo	4SZW7wa8XerMD1d4EnzxcKL8vGF5rKJcvGBp8cZ3ZSGt	1787849194	BUY	9600	-2048880	-20000	179987089	6	Buic59k9DvAx2cW9b4bp6a2e1rqJ2bNWhHX2YNasKcN6	999999332289825	999999152302736	110780074155	110780094145	pumpswap	0	2039280	0
3Avz5tFCBk1J5h8JDRLN9fVjdf42KLcrGvR9Lr8YpxiwN5kX7fWFx3MgNwkX2BSShn5DgzpyjMzp1w7jF23YhWdP	4SZW7wa8XerMD1d4EnzxcKL8vGF5rKJcvGBp8cZ3ZSGt	1787870148	SELL	27739835	-27739835	180582074	-999	6	Buic59k9DvAx2cW9b4bp6a2e1rqJ2bNWhHX2YNasKcN6	1	1000	181306758	634121	pumpswap	1	0	0
5Ek7mM43T4SqZhmCHCYDUKGuHhEN1KD6SWYuCvTvhVbhatTcxAnKTc6h5VgaxKb8BckJyx6Uo2Xdk9HJys2NC2D7	4SZW7wa8XerMD1d4EnzxcKL8vGF5rKJcvGBp8cZ3ZSGt	1787904056	BUY	9600	-9600	-20000	30126975468299	6	Buic59k9DvAx2cW9b4bp6a2e1rqJ2bNWhHX2YNasKcN6	32524864533358	2397889065059	1587	21577	pumpswap	0	0	0
3YKmgXwDjmd4RmQXF2L5jL7EKfaBzEW4fKukCGhhdLaXTqHmkmyMKuCX4ZBewN1uDFevUFnkWoxz3tLtzpVTaEWU	8jKZpYVJkLhrsJcHym2BWUSYtUe3KFk9PnaLLjaCpump	1787849153	BUY	9600	-2083680	-20000	33942700624	6	6af79PEMquz9RntuUyLG1J32BGwaMS7YD8V3NiEMwwhV	206883025331124	206849082630500	120363912	120383668	pumpswap	0	2074080	0
4SDFn5wcpik11VpNMmYVANNkdBxEij8LJ3Q4KahhyQwMywJKHF5GppMuMZnQ7xDgGxKSVEMH5ybNNWhZ1yttTVNs	8jKZpYVJkLhrsJcHym2BWUSYtUe3KFk9PnaLLjaCpump	1787849271	BUY	9600	-9600	-20000	223587655684	6	6af79PEMquz9RntuUyLG1J32BGwaMS7YD8V3NiEMwwhV	531276770546173	531053182890489	46911496	46931252	pumpswap	0	0	0
Az7gQk4EpfF59S6F5JwFXVyRWL9c8UpKus4NJbP7WUq9gazhR39KCojHB8QWvMyhRfTXCx6nnDHEaFNLo2RSR3p	8jKZpYVJkLhrsJcHym2BWUSYtUe3KFk9PnaLLjaCpump	1787860854	SELL	5525	-79977149	173939383	-257261617083	6	6af79PEMquz9RntuUyLG1J32BGwaMS7YD8V3NiEMwwhV	5910669173867	6167930790950	4220904096	4045204191	pumpswap	1	0	79971624
53Z6KL9Z8M34Sepkmc2eTdLKY1nthkTDN8FdiLxPbUcyaJDPk5QLbuZeaJq2zbMubW17w3w964sxTvtbdjWvJvzB	8jKZpYVJkLhrsJcHym2BWUSYtUe3KFk9PnaLLjaCpump	1787860854	BUY	9600	-9600	-20000	30130465	6	6af79PEMquz9RntuUyLG1J32BGwaMS7YD8V3NiEMwwhV	6167930790950	6167900660485	4045204191	4045223993	pumpswap	0	0	0
3pMVpDNkv9ExwYcLruFtvtA2zDP7jikJCog5A1HD4typJp79CKN61XSq5c1sHimoGECoew2ZRbdVWpxBLAdM3UZf	8jKZpYVJkLhrsJcHym2BWUSYtUe3KFk9PnaLLjaCpump	1787861261	BUY	9600	-9600	-20000	2710964431956	6	6af79PEMquz9RntuUyLG1J32BGwaMS7YD8V3NiEMwwhV	1907625965586174	1904915001154218	13878447	13898203	pumpswap	0	0	0
4aKpMPLtCjmAx6Mw479dReAwqeDtKGEG2N4rgpWJmG5fw9gToLW7JxMLfC1x2fw6Y1mGDqvevr1Z7ekemTwiVPWv	3FEiU97Nj5NrXiw1Fm5oys6kDNjgGbqBp9HzCkqtNJKi	1787853922	BUY	9600	-2083680	-20000	137252320	6	AW8K2uNJLyyLAPYnaHF2ZXEoomvEXcedRKj98mTyVkeE	598775433957927	598775296636774	86990000000	86990020000	pumpswap	0	2074080	0
15dy6vomK671PLNbfLYNYApde9sqodwa8yXY5Qc7kzyGCDq6diQwffYzNS1PhJ8MD8Jqw5fDHx7ZCnvryfmxqHM	3FEiU97Nj5NrXiw1Fm5oys6kDNjgGbqBp9HzCkqtNJKi	1787855629	SELL	74595050	-74595050	487062423	-17035	6	AW8K2uNJLyyLAPYnaHF2ZXEoomvEXcedRKj98mTyVkeE	17	17043	487550002	487579	pumpswap	1	0	0
