metric	value
nonce_account	ED8oGfupSeNzsNoECY81E4XUDpdUFVCB4HRJ2qtPZTmC
nonce_authority	27HFmP7ccLadGswvQfvea4o3juLw75cPF4V6jWpHM3MX
sample	last 100 nonce-advancing txs
window_start	1787951805
window_end	1788022737
window_hours	19.70
success	26
fail_6002_ExceededSlippage_meteora	41
fail_6040_BuySlippageBelowMinBaseAmountOut_pumpswap	27
fail_6004	5
fail_ProgramFailedToComplete	1
hit_rate_pct	26.0
attempts_per_day	121.8
landed_harvests_per_day	31.7
sampled_miss_1_sig	5CpN7rYZiPYQ7h6rtWygGeHGe3zwRBGTZonsqKuVaViqSKxv6zKQuqNxvLNzsbbbeEsixe44nuK7AMNsfQ82o8p8
sampled_miss_1_fee_lamports	1000001
sampled_miss_1_tip_lamports	0
sampled_miss_2_sig	2KmNyJb4RL2TE1zBayiQ2Ly74vxQNiR5mh7W9wxdG4KpKquPx2h8VdGNbJmRzLPHK2FLoJSXoiJwKj5jQfbYNiDN
sampled_miss_2_fee_lamports	1189782
sampled_miss_2_tip_lamports	0
